loan_id,owner_id,owner_type,kredi_turu,tutar_tl,vade_ay,aylik_faiz_yuzde,baslangic_tarihi,durum,temerrut_flag
L000041,C00036,customer,İhtiyaç Kredisi,36980.99,24,3.77,2023-04-17,Aktif,False
L000042,C00036,customer,KOBİ Kredisi,40686.35,120,2.75,2023-09-05,Aktif,False
L000043,C00037,customer,Kredi Kartı,13360.59,12,4.52,2019-12-26,Kapalı,False
L000044,C00037,customer,İhtiyaç Kredisi,21338.86,120,3.31,2022-10-23,Aktif,False
L000045,C00038,customer,İşletme Kredisi,7909.15,120,3.89,2019-11-18,Aktif,False
L000046,C00039,customer,Konut Kredisi,6920.9,24,2.65,2023-11-04,Kapalı,False
L000047,C00039,customer,İşletme Kredisi,46543.3,36,3.13,2019-05-06,Kapalı,False
L000048,C00040,customer,Konut Kredisi,30121.44,84,4.78,2020-04-03,Aktif,False
L000049,C00040,customer,Taşıt Kredisi,66676.76,36,3.07,2024-09-04,Aktif,False
L000050,C00041,customer,İhtiyaç Kredisi,11799.09,84,4.41,2024-07-29,Aktif,False
L000051,C00041,customer,Kredi Kartı,61684.68,24,4.45,2025-01-21,Aktif,False
L000052,C00042,customer,Konut Kredisi,10180.94,48,2.9,2019-07-29,Kapalı,False
L000053,C00044,customer,KOBİ Kredisi,105975.45,48,3.17,2021-10-05,Kapalı,False
L000054,C00045,customer,KOBİ Kredisi,2435.85,60,3.66,2020-07-01,Kapalı,False
L000055,C00046,customer,KOBİ Kredisi,50276.32,24,3.95,2026-04-23,Aktif,False
L000056,C00047,customer,İşletme Kredisi,27730.37,120,2.81,2025-04-28,Aktif,False
L000057,C00048,customer,İşletme Kredisi,41483.31,24,3.49,2021-02-05,Aktif,False
L000058,C00048,customer,Konut Kredisi,36799.45,48,3.71,2019-04-19,Kapalı,False
L000059,C00048,customer,Taşıt Kredisi,6670.44,12,4.15,2019-03-29,Kapalı,False
L000060,C00049,customer,İşletme Kredisi,29752.71,84,2.89,2020-04-30,Aktif,True
L000061,C00049,customer,KOBİ Kredisi,33349.53,120,3.16,2024-11-27,Aktif,False
L000062,C00050,customer,Konut Kredisi,18527.07,60,4.17,2021-05-05,Kapalı,False
L000063,C00051,customer,İhtiyaç Kredisi,33189.48,60,4.59,2023-12-08,Aktif,False
L000064,C00052,customer,İşletme Kredisi,101095.88,84,4.58,2023-04-24,Aktif,False
L000065,C00052,customer,Kredi Kartı,23825.53,84,4.64,2025-09-01,Aktif,False
L000066,C00053,customer,Taşıt Kredisi,11384.38,36,4.54,2025-05-09,Aktif,False
L000067,C00054,customer,Taşıt Kredisi,56222.41,6,3.52,2019-05-14,Kapalı,False
L000068,C00055,customer,Taşıt Kredisi,19951.56,60,3.07,2022-12-09,Aktif,False
L000069,C00055,customer,İşletme Kredisi,29754.49,60,4.32,2026-05-22,Aktif,False
L000070,C00057,customer,Kredi Kartı,49326.16,60,4.66,2023-06-28,Aktif,False
L000071,C00058,customer,KOBİ Kredisi,24630.47,120,3.56,2026-06-29,Aktif,False
L000072,C00058,customer,İhtiyaç Kredisi,21943.81,24,2.91,2023-01-09,Kapalı,False
L000073,C00059,customer,Kredi Kartı,15985.72,120,4.09,2019-05-11,Aktif,False
L000074,C00059,customer,İhtiyaç Kredisi,9220.11,12,3.66,2019-09-14,Kapalı,False
L000075,C00060,customer,Taşıt Kredisi,10147.46,36,3.49,2023-02-03,Kapalı,False
L000076,C00060,customer,Konut Kredisi,57397.43,24,2.58,2020-05-24,Kapalı,False
L000077,C00061,customer,İşletme Kredisi,8685.31,48,4.66,2022-06-29,Kapalı,False
L000078,C00062,customer,İşletme Kredisi,7409.24,120,4.83,2019-10-14,Aktif,False
L000079,C00062,customer,İhtiyaç Kredisi,6395.49,36,3.29,2022-08-18,Aktif,False
L000080,C00063,customer,Taşıt Kredisi,46679.49,60,3.28,2026-07-03,Aktif,False
L000081,C00064,customer,İşletme Kredisi,2653.29,12,2.86,2019-08-20,Aktif,False
L000082,C00064,customer,Konut Kredisi,50154.4,24,2.55,2022-09-16,Kapalı,False
L000083,C00065,customer,KOBİ Kredisi,32954.84,36,2.77,2025-11-07,Aktif,False
L000084,C00066,customer,Konut Kredisi,20353.17,36,3.43,2026-07-20,Aktif,False
L000085,C00066,customer,İhtiyaç Kredisi,6147.31,84,4.65,2019-12-04,Aktif,False
L000086,C00068,customer,İhtiyaç Kredisi,41976.91,24,4.3,2025-02-28,Aktif,False
L000087,C00069,customer,İşletme Kredisi,19863.78,120,4.56,2025-04-06,Aktif,False
L000088,C00069,customer,Kredi Kartı,23249.69,120,3.25,2024-05-25,Aktif,False
L000089,C00070,customer,Konut Kredisi,65336.69,36,2.6,2023-06-15,Kapalı,False
L000090,C00071,customer,İhtiyaç Kredisi,27854.26,120,3.87,2022-12-19,Aktif,False
L000091,C00071,customer,KOBİ Kredisi,129133.51,84,4.82,2025-11-27,Aktif,False
L000092,C00072,customer,Kredi Kartı,16662.12,24,2.84,2025-02-16,Aktif,False
L000093,C00073,customer,Kredi Kartı,13405.1,84,3.88,2024-10-22,Aktif,False
L000094,C00073,customer,Konut Kredisi,179488.8,48,4.29,2019-11-19,Kapalı,False
L000095,C00074,customer,Taşıt Kredisi,23454.91,36,3.2,2020-02-11,Kapalı,False
L000096,C00074,customer,Konut Kredisi,59116.99,84,4.04,2026-02-23,Aktif,False
L000097,C00075,customer,Konut Kredisi,5851.31,48,2.87,2019-04-27,Kapalı,False
L000098,C00076,customer,Taşıt Kredisi,163349.7,12,4.16,2024-10-22,Kapalı,False
L000099,C00077,customer,Kredi Kartı,7583.86,6,3.5,2021-10-02,Kapalı,False
L000100,C00077,customer,Taşıt Kredisi,26232.57,36,4.39,2023-02-21,Kapalı,False
L000101,C00078,customer,Taşıt Kredisi,28878.86,24,3.08,2025-09-01,Aktif,False
L000102,C00079,customer,KOBİ Kredisi,185471.82,60,2.7,2023-06-23,Aktif,False
L000103,C00079,customer,Kredi Kartı,6243.88,6,2.66,2023-12-09,Kapalı,False
L000104,C00080,customer,İşletme Kredisi,30481.87,120,3.7,2019-11-18,Aktif,False
L000105,C00081,customer,Konut Kredisi,63854.69,48,3.48,2022-08-09,Aktif,False
L000106,C00081,customer,Taşıt Kredisi,68099.0,6,4.02,2019-01-17,Kapalı,False
L000107,C00082,customer,Konut Kredisi,168234.51,120,4.77,2024-06-24,Aktif,False
L000108,C00083,customer,Konut Kredisi,6129.76,12,4.67,2026-04-09,Aktif,False
L000109,C00085,customer,KOBİ Kredisi,63650.74,60,2.81,2020-02-15,Kapalı,False
L000110,C00086,customer,Taşıt Kredisi,6350.13,36,4.49,2020-12-17,Aktif,False
L000111,C00086,customer,Taşıt Kredisi,15263.15,84,4.74,2021-03-17,Aktif,False
L000112,C00087,customer,KOBİ Kredisi,213757.73,60,3.7,2024-03-12,Aktif,False
L000113,C00087,customer,KOBİ Kredisi,48142.48,84,3.91,2019-08-17,Kapalı,False
L000114,C00088,customer,Konut Kredisi,155621.34,6,3.61,2024-02-13,Kapalı,False
L000115,C00090,customer,KOBİ Kredisi,33074.09,6,4.81,2023-05-03,Kapalı,False
L000116,C00091,customer,İhtiyaç Kredisi,29414.07,60,3.96,2020-08-29,Kapalı,False
L000117,C00092,customer,KOBİ Kredisi,17333.28,84,3.18,2023-03-06,Aktif,False
L000118,C00093,customer,Kredi Kartı,32859.04,36,3.24,2020-07-10,Kapalı,False
L000119,C00093,customer,KOBİ Kredisi,17955.19,48,2.68,2020-03-15,Kapalı,False
L000120,C00094,customer,Taşıt Kredisi,22571.7,48,2.93,2019-02-27,Kapalı,False
L000121,C00095,customer,Taşıt Kredisi,74482.43,84,2.92,2024-11-01,Aktif,False
L000122,C00095,customer,Taşıt Kredisi,14824.75,60,3.68,2025-07-16,Aktif,False
L000123,C00096,customer,KOBİ Kredisi,81802.3,6,4.72,2019-01-30,Kapalı,True
L000124,C00096,customer,Kredi Kartı,143107.89,24,3.05,2019-02-01,Aktif,False
L000125,C00097,customer,KOBİ Kredisi,6941.4,36,2.96,2024-12-15,Aktif,False
L000126,C00098,customer,İhtiyaç Kredisi,56982.3,36,3.97,2025-07-10,Aktif,False
L000127,C00099,customer,Taşıt Kredisi,64471.24,120,4.77,2019-11-29,Aktif,False
L000128,C00100,customer,İşletme Kredisi,5802.71,36,4.38,2025-04-08,Aktif,False
L000129,C00100,customer,İhtiyaç Kredisi,6765.63,120,3.59,2025-10-09,Aktif,True
L000130,C00101,customer,KOBİ Kredisi,12000.72,60,3.6,2019-01-12,Kapalı,False
L000131,C00101,customer,İhtiyaç Kredisi,19044.72,120,2.81,2023-01-22,Aktif,False
L000132,C00102,customer,Kredi Kartı,9443.87,6,2.56,2020-02-25,Kapalı,False
L000133,C00102,customer,KOBİ Kredisi,10218.45,120,4.74,2022-08-01,Aktif,False
L000134,C00103,customer,Taşıt Kredisi,15282.25,84,4.69,2020-06-21,Aktif,False
L000135,C00103,customer,İhtiyaç Kredisi,26824.44,60,3.06,2020-06-11,Kapalı,False
L000136,C00104,customer,Taşıt Kredisi,43352.7,12,3.04,2023-07-12,Aktif,False
L000137,C00105,customer,Kredi Kartı,135253.48,12,4.1,2024-06-19,Aktif,False
L000138,C00105,customer,Taşıt Kredisi,91983.93,12,3.39,2025-11-21,Aktif,False
L000139,C00106,customer,KOBİ Kredisi,10275.33,48,4.41,2025-05-21,Aktif,False
L000140,C00106,customer,Taşıt Kredisi,29203.09,60,4.79,2020-07-17,Kapalı,False
L000141,C00108,customer,KOBİ Kredisi,8302.11,84,4.58,2021-01-16,Aktif,False
L000142,C00109,customer,Konut Kredisi,25809.09,60,4.38,2025-12-01,Aktif,False
L000143,C00110,customer,KOBİ Kredisi,7636.57,84,3.03,2026-05-24,Aktif,False
L000144,C00110,customer,İhtiyaç Kredisi,40177.33,24,2.61,2022-08-05,Kapalı,False
L000145,C00111,customer,Kredi Kartı,73702.62,60,3.38,2020-03-27,Kapalı,False
L000146,C00112,customer,KOBİ Kredisi,16855.86,24,3.55,2024-04-04,Kapalı,False
L000147,C00112,customer,İşletme Kredisi,46577.76,36,3.99,2023-08-21,Kapalı,False
L000148,C00113,customer,Kredi Kartı,18140.63,36,4.06,2022-03-22,Kapalı,False
L000149,C00113,customer,İhtiyaç Kredisi,6273.03,36,2.67,2021-04-06,Kapalı,True
L000150,C00114,customer,KOBİ Kredisi,17904.33,48,4.88,2025-08-24,Aktif,False
L000151,C00115,customer,Kredi Kartı,71024.81,120,4.35,2022-08-27,Aktif,False
L000152,C00115,customer,Kredi Kartı,16118.95,48,3.18,2023-10-19,Aktif,False
L000153,C00117,customer,Konut Kredisi,9457.33,48,4.4,2025-01-16,Aktif,False
L000154,C00118,customer,İşletme Kredisi,9929.66,120,4.37,2021-06-10,Aktif,False
L000155,C00118,customer,İşletme Kredisi,6522.48,24,3.76,2020-03-09,Kapalı,False
L000156,C00119,customer,Konut Kredisi,48116.15,120,4.44,2024-04-13,Aktif,False
L000157,C00120,customer,İhtiyaç Kredisi,18163.26,60,4.48,2019-08-26,Kapalı,False
L000158,C00121,customer,İhtiyaç Kredisi,81411.59,36,3.56,2022-06-25,Kapalı,False
L000159,C00122,customer,İhtiyaç Kredisi,36027.42,84,4.51,2022-08-16,Aktif,False
L000160,C00123,customer,İşletme Kredisi,420324.54,84,3.75,2021-06-16,Aktif,False
L000161,C00123,customer,Konut Kredisi,33894.75,48,3.35,2024-05-17,Aktif,False
L000162,C00124,customer,İhtiyaç Kredisi,10687.63,36,3.29,2022-06-15,Kapalı,False
L000163,C00125,customer,Taşıt Kredisi,38215.68,36,4.89,2021-12-15,Aktif,False
L000164,C00126,customer,KOBİ Kredisi,90357.58,60,3.16,2024-02-22,Aktif,False
L000165,C00126,customer,Taşıt Kredisi,11486.01,120,4.52,2023-09-23,Aktif,False
L000166,C00128,customer,Konut Kredisi,7924.97,84,4.67,2020-10-05,Aktif,False
L000167,C00129,customer,İhtiyaç Kredisi,13252.25,84,4.57,2024-08-05,Aktif,False
L000168,C00130,customer,Taşıt Kredisi,13512.1,36,3.11,2021-05-26,Aktif,False
L000169,C00130,customer,Kredi Kartı,88464.92,120,4.35,2024-02-04,Aktif,False
L000170,C00131,customer,İhtiyaç Kredisi,20276.28,6,3.74,2025-04-07,Kapalı,False
L000171,C00131,customer,İhtiyaç Kredisi,20719.17,12,2.88,2024-10-29,Kapalı,False
L000172,C00132,customer,İhtiyaç Kredisi,49890.7,36,3.79,2026-07-12,Aktif,False
L000173,C00132,customer,Konut Kredisi,16580.46,6,4.07,2025-12-23,Kapalı,False
L000174,C00134,customer,İşletme Kredisi,60161.47,24,4.22,2024-05-09,Kapalı,False
L000175,C00135,customer,KOBİ Kredisi,32705.44,36,4.5,2020-07-07,Kapalı,False
L000176,C00136,customer,Taşıt Kredisi,6142.77,12,3.11,2026-06-14,Aktif,True
L000177,C00137,customer,KOBİ Kredisi,23224.32,84,2.51,2022-02-26,Aktif,False
L000178,C00138,customer,Kredi Kartı,43015.16,60,4.18,2020-01-31,Kapalı,False
L000179,C00138,customer,Konut Kredisi,27387.86,120,3.42,2024-09-14,Aktif,False
L000180,C00139,customer,KOBİ Kredisi,319756.1,120,3.09,2024-11-24,Aktif,False
L000181,C00139,customer,Konut Kredisi,13991.38,60,4.32,2024-08-12,Aktif,False
L000182,C00140,customer,Kredi Kartı,18565.39,120,3.96,2025-12-11,Aktif,False
L000183,C00141,customer,Konut Kredisi,91120.03,120,3.36,2025-07-07,Aktif,False
L000184,C00142,customer,İhtiyaç Kredisi,53890.26,48,3.34,2025-09-18,Aktif,False
L000185,C00142,customer,İşletme Kredisi,43243.57,48,4.85,2023-09-03,Aktif,False
L000186,C00143,customer,İşletme Kredisi,28331.17,6,3.56,2023-03-19,Kapalı,False
L000187,C00145,customer,Taşıt Kredisi,3745.03,36,2.77,2026-02-28,Aktif,False
L000188,C00145,customer,Konut Kredisi,87271.86,12,4.77,2019-03-26,Kapalı,False
L000189,C00146,customer,Kredi Kartı,10845.83,36,3.15,2020-06-28,Kapalı,False
L000190,C00147,customer,KOBİ Kredisi,7211.49,84,4.73,2024-10-31,Aktif,False
L000191,C00148,customer,İşletme Kredisi,97244.11,48,3.52,2020-08-21,Kapalı,False
L000192,C00148,customer,KOBİ Kredisi,23018.97,60,3.11,2019-09-05,Kapalı,False
L000193,C00149,customer,Konut Kredisi,9233.15,24,4.88,2021-12-07,Kapalı,False
L000194,C00149,customer,Taşıt Kredisi,8186.23,6,2.82,2023-12-20,Aktif,False
L000195,C00149,customer,İhtiyaç Kredisi,23431.39,36,3.4,2021-06-03,Kapalı,False
L000196,C00150,customer,Konut Kredisi,26991.46,60,3.5,2024-05-05,Aktif,False
L000197,C00151,customer,Taşıt Kredisi,3880.16,84,3.84,2019-10-17,Aktif,False
L000198,C00151,customer,İşletme Kredisi,4706.35,48,3.9,2026-02-04,Aktif,False
L000199,C00152,customer,Taşıt Kredisi,67777.3,120,3.86,2019-08-09,Aktif,False
L000200,C00152,customer,Konut Kredisi,15514.21,36,3.22,2024-11-06,Aktif,False
L000201,C00153,customer,İşletme Kredisi,100646.41,120,3.05,2023-06-20,Aktif,True
L000202,C00154,customer,Kredi Kartı,6043.61,120,3.88,2023-08-12,Aktif,False
L000203,C00154,customer,Taşıt Kredisi,52526.61,12,2.59,2026-02-20,Aktif,False
L000204,C00155,customer,Taşıt Kredisi,17660.16,60,2.78,2022-05-13,Aktif,False
L000205,C00156,customer,KOBİ Kredisi,39754.74,12,4.27,2022-02-23,Kapalı,False
L000206,C00157,customer,İhtiyaç Kredisi,78835.66,60,4.77,2021-03-19,Aktif,False
L000207,C00158,customer,Kredi Kartı,4917.57,36,4.7,2022-05-30,Kapalı,False
L000208,C00158,customer,İşletme Kredisi,4414.89,60,3.88,2021-09-30,Aktif,False
L000209,C00159,customer,İhtiyaç Kredisi,6499.64,24,4.24,2019-07-26,Kapalı,False
L000210,C00159,customer,İşletme Kredisi,17561.73,6,3.96,2022-07-01,Kapalı,False
L000211,C00160,customer,Taşıt Kredisi,7765.42,48,4.41,2020-03-01,Aktif,False
L000212,C00161,customer,Taşıt Kredisi,45627.69,84,4.64,2021-10-27,Aktif,True
L000213,C00161,customer,Taşıt Kredisi,11076.72,120,4.44,2021-10-13,Aktif,True
L000214,C00162,customer,Taşıt Kredisi,4984.94,48,3.81,2026-02-07,Aktif,False
L000215,C00163,customer,İhtiyaç Kredisi,91455.77,48,2.6,2026-01-09,Aktif,False
L000216,C00163,customer,İşletme Kredisi,514404.27,120,2.67,2023-05-31,Aktif,False
L000217,C00165,customer,İhtiyaç Kredisi,11711.28,120,4.53,2024-04-05,Aktif,False
L000218,C00165,customer,Kredi Kartı,2383.72,48,3.96,2020-07-31,Aktif,False
L000219,C00166,customer,Taşıt Kredisi,62746.23,12,2.9,2019-05-24,Kapalı,False
L000220,C00168,customer,KOBİ Kredisi,16058.18,48,3.14,2025-01-28,Aktif,False
L000221,C00169,customer,İhtiyaç Kredisi,8913.92,60,4.12,2019-12-22,Aktif,False
L000222,C00171,customer,İhtiyaç Kredisi,52444.4,120,3.72,2025-05-13,Aktif,False
L000223,C00172,customer,İhtiyaç Kredisi,102092.91,36,4.0,2020-08-11,Kapalı,False
L000224,C00172,customer,Kredi Kartı,84242.48,48,3.99,2025-07-31,Aktif,False
L000225,C00173,customer,İhtiyaç Kredisi,2929.8,84,3.56,2026-03-22,Aktif,False
L000226,C00174,customer,Konut Kredisi,63021.64,12,2.81,2025-11-04,Aktif,False
L000227,C00175,customer,Taşıt Kredisi,19114.83,120,4.64,2020-01-12,Aktif,False
L000228,C00176,customer,KOBİ Kredisi,15678.89,6,2.83,2023-10-04,Kapalı,False
L000229,C00177,customer,Kredi Kartı,22078.55,84,2.62,2024-09-09,Aktif,False
L000230,C00178,customer,Taşıt Kredisi,20884.32,120,4.44,2024-09-26,Aktif,False
L000231,C00179,customer,KOBİ Kredisi,7562.88,120,3.33,2020-01-31,Aktif,False
L000232,C00180,customer,KOBİ Kredisi,42222.8,12,2.71,2020-12-29,Kapalı,False
L000233,C00180,customer,Taşıt Kredisi,25525.82,12,4.51,2024-07-10,Kapalı,False
L000234,C00181,customer,İhtiyaç Kredisi,85248.67,120,3.31,2026-02-21,Aktif,True
L000235,C00182,customer,Taşıt Kredisi,13683.54,24,4.83,2026-04-02,Aktif,False
L000236,C00182,customer,KOBİ Kredisi,54866.71,24,2.7,2022-02-07,Kapalı,False
L000237,C00184,customer,İşletme Kredisi,18917.06,48,3.95,2021-03-13,Kapalı,False
L000238,C00185,customer,Taşıt Kredisi,25071.34,120,3.54,2024-08-12,Aktif,False
L000239,C00186,customer,İhtiyaç Kredisi,26268.59,84,3.52,2022-03-20,Aktif,False
L000240,C00187,customer,Konut Kredisi,12815.73,48,4.05,2025-09-10,Aktif,False
L000241,C00187,customer,İşletme Kredisi,15875.87,84,3.1,2025-02-01,Aktif,False
L000242,C00188,customer,Konut Kredisi,15290.71,120,4.08,2022-01-18,Aktif,False
L000243,C00189,customer,Taşıt Kredisi,84343.16,24,3.48,2019-02-01,Kapalı,False
L000244,C00189,customer,Taşıt Kredisi,137201.8,84,3.25,2025-03-14,Aktif,False
L000245,C00189,customer,KOBİ Kredisi,4173.57,120,4.35,2019-04-15,Aktif,False
L000246,C00190,customer,Taşıt Kredisi,26143.75,120,4.34,2023-02-12,Aktif,False
L000247,C00191,customer,Kredi Kartı,5187.78,120,3.9,2024-12-16,Aktif,False
L000248,C00191,customer,Konut Kredisi,26220.52,60,3.51,2024-06-05,Aktif,False
L000249,C00192,customer,KOBİ Kredisi,167481.01,60,2.67,2021-05-28,Kapalı,False
L000250,C00193,customer,Kredi Kartı,11480.53,84,2.54,2022-03-25,Aktif,False
L000251,C00194,customer,İşletme Kredisi,15459.14,12,4.82,2021-06-30,Kapalı,False
L000252,C00194,customer,KOBİ Kredisi,32152.32,60,2.55,2019-03-20,Kapalı,False
L000253,C00195,customer,KOBİ Kredisi,53373.49,84,2.58,2022-06-07,Aktif,False
L000254,C00196,customer,Kredi Kartı,51929.15,60,4.7,2019-01-13,Kapalı,False
L000255,C00196,customer,Konut Kredisi,12045.77,60,2.61,2026-04-03,Aktif,False
L000256,C00197,customer,Taşıt Kredisi,422197.93,12,3.48,2022-03-19,Kapalı,False
L000257,C00198,customer,KOBİ Kredisi,141905.08,84,2.74,2020-12-27,Aktif,False
L000258,C00198,customer,Kredi Kartı,11263.89,48,2.82,2024-07-05,Aktif,False
L000259,C00199,customer,İhtiyaç Kredisi,28417.03,36,4.41,2025-03-25,Aktif,False
L000260,C00200,customer,Kredi Kartı,14735.37,6,3.88,2024-05-25,Aktif,False
L000261,C00201,customer,Taşıt Kredisi,8022.19,48,3.25,2022-07-18,Kapalı,False
L000262,C00201,customer,İşletme Kredisi,6597.34,84,4.21,2022-01-22,Aktif,False
L000263,C00202,customer,KOBİ Kredisi,27806.24,36,4.76,2025-09-14,Aktif,False
L000264,C00203,customer,KOBİ Kredisi,22762.37,120,4.38,2025-10-06,Aktif,False
L000265,C00204,customer,Kredi Kartı,166048.44,36,4.48,2025-11-15,Aktif,False
L000266,C00204,customer,Taşıt Kredisi,26334.57,36,3.04,2021-03-13,Kapalı,False
L000267,C00205,customer,İşletme Kredisi,20754.78,36,4.62,2025-03-09,Aktif,False
L000268,C00206,customer,KOBİ Kredisi,6009.97,24,3.4,2022-11-16,Kapalı,False
L000269,C00207,customer,Taşıt Kredisi,506852.28,84,4.57,2025-01-14,Aktif,False
L000270,C00207,customer,KOBİ Kredisi,96118.83,60,3.68,2021-01-09,Kapalı,False
L000271,C00208,customer,İhtiyaç Kredisi,23422.03,120,4.82,2026-02-13,Aktif,False
L000272,C00208,customer,Kredi Kartı,2064.34,36,4.83,2024-05-19,Aktif,False
L000273,C00209,customer,KOBİ Kredisi,28804.4,36,4.15,2026-01-31,Aktif,False
L000274,C00209,customer,İhtiyaç Kredisi,26182.98,6,3.44,2023-03-24,Aktif,False
L000275,C00210,customer,İşletme Kredisi,42712.73,84,3.37,2019-05-05,Kapalı,False
L000276,C00210,customer,Konut Kredisi,76640.35,24,3.7,2025-08-31,Aktif,False
L000277,C00211,customer,İşletme Kredisi,7449.26,60,2.79,2019-08-24,Kapalı,False
L000278,C00211,customer,Kredi Kartı,141341.08,24,3.2,2023-07-31,Kapalı,False
L000279,C00212,customer,İşletme Kredisi,8471.85,12,3.7,2019-08-20,Kapalı,False
L000280,C00212,customer,Kredi Kartı,2058.75,120,4.62,2025-01-13,Aktif,False
L000281,C00212,customer,KOBİ Kredisi,132942.9,36,3.43,2025-09-30,Aktif,False
L000282,C00214,customer,İşletme Kredisi,63406.53,12,4.78,2025-10-29,Aktif,True
L000283,C00214,customer,Kredi Kartı,47390.52,120,4.53,2021-12-20,Aktif,False
L000284,C00215,customer,İşletme Kredisi,70748.27,36,2.82,2021-06-08,Kapalı,False
L000285,C00216,customer,KOBİ Kredisi,25214.91,48,4.58,2019-06-25,Kapalı,False
L000286,C00218,customer,Konut Kredisi,33030.44,24,3.34,2023-05-08,Kapalı,False
L000287,C00220,customer,Taşıt Kredisi,42082.46,24,2.65,2022-02-19,Aktif,False
L000288,C00221,customer,KOBİ Kredisi,17919.47,36,2.52,2023-05-15,Kapalı,False
L000289,C00222,customer,Konut Kredisi,123081.36,12,3.4,2025-11-20,Aktif,False
L000290,C00222,customer,KOBİ Kredisi,95012.25,84,3.0,2019-11-29,Aktif,True
L000291,C00223,customer,İşletme Kredisi,19343.58,48,3.67,2019-03-29,Kapalı,False
L000292,C00223,customer,KOBİ Kredisi,35738.64,24,3.1,2021-12-19,Kapalı,False
L000293,C00224,customer,İşletme Kredisi,35489.58,60,3.02,2024-05-02,Aktif,False
L000294,C00225,customer,KOBİ Kredisi,147816.53,60,4.82,2019-05-22,Kapalı,False
L000295,C00226,customer,Kredi Kartı,24134.88,48,4.0,2021-07-17,Kapalı,False
