company_id,firma_unvani,mersis_no,sektor,sehir,kurulus_tarihi,sermaye_tl,calisan_sayisi,kkb_firma_skoru
F00018,Doğuş Endüstri A.Ş.,3221127527332158,Turizm ve Konaklama,İstanbul,2016-08-14,910318.53,39,1129
F00019,Toros Tarım A.Ş.,9111985803556916,Bilişim ve Yazılım,Adana,2008-04-20,222978.05,17,988
F00020,Kıvılcım Holding Ltd. Şti.,0490652211317517,Metal ve Makine,İstanbul,2012-03-11,1551002.77,13,1485
F00021,Ege Holding A.Ş.,7022246862651057,Lojistik,İstanbul,2021-12-27,142243.42,3,1128
F00022,Cevher Metal Ltd. Şti.,6099049576008698,İnşaat,İstanbul,1997-10-14,341507.39,26,1376
F00023,Berrak Metal Ltd. Şti.,9450986219728932,Turizm ve Konaklama,İstanbul,2018-10-04,392933.8,9,1476
F00024,Bumerang Enerji A.Ş.,4656495250348871,Gıda ve İçecek,Mersin,1997-09-08,1371089.38,27,1642
F00025,Çınar Otomotiv A.Ş.,9348195621846399,Sağlık,İstanbul,1999-05-21,370799.97,2,996
F00026,Mavera Danışmanlık Ltd. Şti.,4246270946191522,Gıda ve İçecek,İstanbul,2022-04-03,442574.19,13,1531
F00027,Doğuş Teknoloji A.Ş.,7033469105839167,Lojistik,Eskişehir,2010-08-17,1696479.47,27,1777
F00028,Bahar Turizm Ltd. Şti.,4894572594659590,Tekstil,İstanbul,1995-02-03,297791.7,6,1382
F00029,Ege Yazılım Ltd. Şti.,4992358816014733,Metal ve Makine,İstanbul,2023-03-15,110721.47,63,1637
F00030,Yıldız Teknoloji A.Ş.,2991293698275710,Enerji,Denizli,1995-05-11,475710.02,46,793
F00031,Rüzgar Sistem A.Ş.,6981114151371251,Otomotiv,Bursa,2013-06-22,512446.58,3,1307
F00032,Rüzgar Kimya Ltd. Şti.,3119520075482811,Perakende Ticaret,İstanbul,2007-09-26,190445.56,26,1468
F00033,Cevher Yazılım A.Ş.,3741751874176950,Eğitim,Konya,1996-05-01,1178353.74,7,1612
F00034,Yıldız Gıda A.Ş.,8036973368177062,Gıda ve İçecek,Bursa,2018-07-07,320759.06,2,1034
F00035,Ege Gıda A.Ş.,1669237496962576,Lojistik,İstanbul,2015-05-16,227552.02,40,1539
F00036,Doğuş İnşaat Ltd. Şti.,9984533334356071,Metal ve Makine,Eskişehir,2022-11-02,74291.3,11,1900
F00037,Mavera Sistem Ltd. Şti.,5028584373424240,Eğitim,Ankara,1995-01-11,303259.96,9,1547
F00038,Mavera Yapı A.Ş.,4528036517616324,Enerji,Kayseri,2001-06-15,621401.31,8,1550
F00039,Aydın Endüstri Ltd. Şti.,6212257241132863,Bilişim ve Yazılım,Ankara,2003-02-02,186879.92,27,1450
F00040,Cevher Holding A.Ş.,3853114272176212,Lojistik,İstanbul,2015-07-27,455961.94,6,1153
F00041,Erguvan Gıda Ltd. Şti.,2291418601496800,Turizm ve Konaklama,İzmir,2023-09-17,759220.13,12,1413
F00042,Deniz Turizm A.Ş.,5832883987912105,Finans ve Sigorta,Samsun,2002-12-07,191561.66,33,1217
F00043,Doruk Gıda A.Ş.,4605626446061530,Perakende Ticaret,İstanbul,2011-01-27,231153.82,29,1751
F00044,Damla Kimya Ltd. Şti.,0735049810738270,Otomotiv,Ankara,2010-04-10,150823.38,95,1493
F00045,Sahil Grup A.Ş.,2342207693661044,Enerji,Denizli,2023-02-24,85201.89,19,1285
F00046,Toprak Turizm A.Ş.,6670055864067612,Bilişim ve Yazılım,Antalya,2014-03-14,432559.57,12,1422
F00047,Bahar Grup Ltd. Şti.,0644311455018525,Enerji,Ankara,2012-07-12,98444.41,36,1053
F00048,Anka Otomotiv A.Ş.,6109287275687014,İnşaat,Bursa,2017-05-03,79249.68,19,1808
F00049,Cevher Tarım Ltd. Şti.,6149716264583250,Turizm ve Konaklama,İstanbul,2023-02-05,182070.2,27,1650
F00050,Cevher Endüstri Ltd. Şti.,8142488838493399,Tarım,İzmir,2007-04-30,657468.99,9,1072
F00051,Yörünge Yazılım Ltd. Şti.,6924241857804104,Tarım,İstanbul,2011-05-24,23663.7,10,1753
F00052,Bumerang Tarım Ltd. Şti.,8168778719776526,Otomotiv,İstanbul,2020-06-15,77918.4,27,1114
F00053,Bereket Holding A.Ş.,3869172458967099,İnşaat,Adana,2001-03-18,301546.6,27,1130
F00054,Doğuş Gıda Ltd. Şti.,1560026125899716,Eğitim,Mersin,2015-10-19,323687.28,8,1611
F00055,Vadi Kimya Ltd. Şti.,0947434218952198,Finans ve Sigorta,Kayseri,1997-07-08,347614.33,14,1867
F00056,Berrak Teknoloji Ltd. Şti.,5232952744507195,Eğitim,Ankara,1996-03-19,556007.33,6,1374
F00057,Damla Enerji Ltd. Şti.,0366249153458112,İnşaat,Ankara,2023-08-17,246843.88,14,1900
F00058,Vadi Enerji Ltd. Şti.,0680133475670825,Finans ve Sigorta,İzmir,1999-03-14,403502.14,1,1147
F00059,Ege Teknoloji Ltd. Şti.,2022048368161523,Kimya,Ankara,2023-08-30,32028.8,9,803
F00060,Umut Teknoloji A.Ş.,1493448509614918,Perakende Ticaret,İzmir,2017-09-07,102873.0,2,1425
F00061,Damla Enerji Ltd. Şti.,7415395405833756,Tarım,İstanbul,2020-01-24,268496.54,18,1368
F00062,Cevher Teknoloji Ltd. Şti.,8392135544133226,Enerji,Gaziantep,1997-12-11,57888.41,22,1900
F00063,Kıvılcım Lojistik Ltd. Şti.,4147450389448082,Tekstil,İstanbul,2017-11-03,420892.96,8,971
F00064,Umut Lojistik Ltd. Şti.,1745620370383212,Bilişim ve Yazılım,Gaziantep,2018-02-13,98827.02,21,1721
F00065,Umut Endüstri Ltd. Şti.,1704857144477172,Eğitim,Ankara,2015-12-15,357522.22,29,1612
F00066,Meridyen Tarım A.Ş.,0609101812226074,Tarım,Kayseri,2016-07-25,468451.49,6,1452
F00067,Deniz Sistem Ltd. Şti.,9654374744267381,Enerji,Gaziantep,2015-01-20,105533.57,13,1499
F00068,Kervan Turizm A.Ş.,1821663769185726,Perakende Ticaret,İstanbul,1995-09-21,1700889.98,3,1454
F00069,Damla Otomotiv Ltd. Şti.,6473750907038105,Bilişim ve Yazılım,İstanbul,1995-12-15,1368684.0,28,1649
F00070,Vadi Enerji Ltd. Şti.,8958923573861540,Turizm ve Konaklama,İstanbul,2010-08-22,512196.9,49,1001
F00071,Damla Ticaret Ltd. Şti.,9328802996843713,Finans ve Sigorta,Ankara,2005-11-16,58423.92,13,751
F00072,Doruk Danışmanlık A.Ş.,2008615606300072,Finans ve Sigorta,Kayseri,2021-07-26,1038938.82,45,1269
F00073,Deniz Tarım A.Ş.,7861288937820900,Finans ve Sigorta,İstanbul,2017-03-24,178465.81,12,1415
F00074,Zirve Yapı Ltd. Şti.,5783891693905976,Sağlık,İstanbul,2021-09-12,308627.8,23,1348
F00075,Erguvan Kimya A.Ş.,6407356581165397,Perakende Ticaret,Ankara,2005-04-28,757298.39,21,1217
F00076,Damla Kimya Ltd. Şti.,8892980969670642,Finans ve Sigorta,İzmir,2015-08-02,1165457.11,3,1282
F00077,Bereket Tekstil A.Ş.,7142973074448548,Lojistik,İstanbul,2017-08-07,777321.37,6,1492
F00078,Aydın Enerji Ltd. Şti.,9456306871911445,Turizm ve Konaklama,Adana,2018-10-23,487806.24,5,1306
F00079,Damla Enerji Ltd. Şti.,6038156679025851,Sağlık,Ankara,1995-07-03,225899.57,7,1900
F00080,Kaptan İnşaat A.Ş.,4983089370007914,Enerji,Eskişehir,2022-12-03,115911.59,36,1282
F00081,Kaptan Grup A.Ş.,5919883050195083,Bilişim ve Yazılım,İstanbul,2012-05-20,81202.41,14,1594
F00082,Pusula Kimya A.Ş.,5484696675018306,Tekstil,Ankara,2022-01-26,738636.01,64,1900
F00083,Kaptan Kimya A.Ş.,5946391842153809,Perakende Ticaret,Antalya,2023-01-23,353474.15,6,1535
F00084,Aydın Kimya A.Ş.,9642842972084706,Tekstil,İstanbul,1995-11-21,200218.74,33,1010
F00085,Kervan Turizm Ltd. Şti.,6927542623272689,Tarım,Antalya,2012-07-16,3631542.32,31,894
F00086,Erguvan Ticaret A.Ş.,6857586969688298,Bilişim ve Yazılım,İzmir,2013-10-15,123015.82,30,1752
F00087,Yıldız İnşaat Ltd. Şti.,3499218485663879,Tekstil,Adana,2005-10-12,66206.81,27,815
F00088,Nokta Endüstri Ltd. Şti.,3090124704297756,Perakende Ticaret,İzmir,2019-01-09,243222.16,40,1234
F00089,Bereket Holding Ltd. Şti.,2736629015336662,Finans ve Sigorta,Ankara,2016-12-24,51143.23,15,1218
F00090,Deniz Otomotiv A.Ş.,3814266224871771,Turizm ve Konaklama,İstanbul,2003-04-19,536334.98,5,1096
F00091,Yıldız Kimya A.Ş.,4142583161032173,Sağlık,Ankara,2010-10-25,29053.59,15,1351
F00092,Bahar Metal A.Ş.,7865306933724071,Lojistik,İstanbul,1998-08-07,72604.11,16,1708
F00093,Sahil Enerji A.Ş.,4391034977772170,Otomotiv,İstanbul,1999-10-30,211689.37,17,1481
F00094,Aydın İnşaat Ltd. Şti.,1594264089594403,Turizm ve Konaklama,Adana,2000-04-25,71341.76,105,1186
F00095,Vadi Grup A.Ş.,9167460172279505,Eğitim,Mersin,2022-08-12,552234.37,29,1358
F00096,Kıvılcım Gıda A.Ş.,1622065722133316,Tarım,İstanbul,1999-01-21,523072.07,17,974
F00097,Vadi Endüstri Ltd. Şti.,6108224627868654,Lojistik,Antalya,2009-11-09,186185.73,7,1261
F00098,Yıldız Metal A.Ş.,6164199892114600,Bilişim ve Yazılım,İzmir,1999-10-23,63933.36,41,1880
F00099,Kervan Gıda A.Ş.,0538746447356442,Eğitim,Mersin,2005-04-03,786858.15,47,1296
F00100,Ege Yapı Ltd. Şti.,8020811675550296,Eğitim,Mersin,2022-10-03,133268.01,6,1593
F00101,Bumerang Ticaret Ltd. Şti.,4327267246620717,Sağlık,Bursa,2002-08-18,344472.44,12,1788
F00102,Anka Makine A.Ş.,4083220510261717,Perakende Ticaret,Konya,1999-04-27,418920.1,5,1195
F00103,Toros Tarım A.Ş.,7628256094230753,Finans ve Sigorta,İzmir,1998-06-12,568179.48,38,1565
F00104,Toprak Teknoloji A.Ş.,3060040125806561,Tekstil,İstanbul,2016-08-17,2162072.09,69,1532
F00105,Nokta Yapı A.Ş.,8502639446331140,Turizm ve Konaklama,İzmir,1995-04-16,106677.04,3,1121
F00106,Toros Ticaret Ltd. Şti.,7823177375934418,Metal ve Makine,İzmir,2000-03-20,614481.92,83,1525
F00107,Toprak Lojistik A.Ş.,2679693781470918,Eğitim,Ankara,2007-11-07,970527.55,10,1586
F00108,Kıvılcım Lojistik A.Ş.,3226972920235559,Tarım,Samsun,1999-05-05,663771.02,1,1185
F00109,Rüzgar Grup A.Ş.,0226927603971995,Otomotiv,Antalya,2004-09-16,762738.42,17,1041
F00110,Erguvan Teknoloji Ltd. Şti.,3209076504114505,Enerji,İzmir,2002-07-10,18524.8,9,1378
F00111,Yörünge Teknoloji Ltd. Şti.,3467768426601811,Kimya,İstanbul,2021-03-03,101486.87,15,1551
F00112,Bumerang Metal Ltd. Şti.,5066980028883804,Kimya,Kayseri,2013-05-10,561156.94,1,915
F00113,Sahil Turizm Ltd. Şti.,4184434450585655,Sağlık,Bursa,2002-07-18,191935.58,23,1546
F00114,Doruk Teknoloji A.Ş.,7600937612919824,Turizm ve Konaklama,Mersin,2012-07-31,450925.29,9,1229
F00115,Vadi Teknoloji A.Ş.,3604132532698255,Lojistik,Konya,2009-10-11,120431.67,29,1123
F00116,Kaptan Kimya A.Ş.,6197818067380799,Tekstil,İstanbul,2000-07-19,683539.71,16,1386
F00117,Mavera Lojistik A.Ş.,8974063522875303,Eğitim,Gaziantep,2017-02-20,130303.1,3,1115
F00118,Yıldız Danışmanlık Ltd. Şti.,5776646375127576,Gıda ve İçecek,İstanbul,2022-01-20,186650.37,1,1250
F00119,Kaptan Enerji Ltd. Şti.,6704082614061679,Enerji,Adana,1999-10-30,741768.96,23,1251
F00120,Bereket Lojistik A.Ş.,7906882849123905,Lojistik,Antalya,2003-02-01,282555.4,7,1444
F00121,Pusula Lojistik Ltd. Şti.,7581906283634791,Lojistik,Konya,2008-11-27,1460250.58,35,1556
F00122,Anka Yazılım Ltd. Şti.,9082336601036330,Tarım,Antalya,2014-02-06,156033.59,28,893
F00123,Erguvan Lojistik Ltd. Şti.,8680633275161474,Turizm ve Konaklama,Antalya,1997-07-03,203294.55,24,1550
F00124,Doruk Lojistik Ltd. Şti.,2502865760627168,Sağlık,Ankara,2013-12-29,560661.68,18,1341
F00125,Çınar Lojistik A.Ş.,2186522239739204,Otomotiv,Gaziantep,2011-12-25,484936.66,5,1146
F00126,Kıvılcım Makine A.Ş.,3613023853986989,Tekstil,Bursa,2007-12-02,287192.54,16,852
F00127,Bahar Endüstri A.Ş.,5869226843215205,Eğitim,Bursa,2016-07-06,442705.93,29,1376
F00128,Rüzgar Ticaret Ltd. Şti.,2227665445544178,Tekstil,İstanbul,2007-04-16,3656119.55,6,1291
F00129,Toprak Yapı Ltd. Şti.,6909257994343436,Sağlık,İstanbul,2014-06-08,173759.32,12,1301
F00130,Yıldız Tekstil Ltd. Şti.,4257122966450993,Otomotiv,Eskişehir,2017-08-29,57097.09,7,1370
F00131,Aydın Metal Ltd. Şti.,8594317997447588,Bilişim ve Yazılım,İstanbul,2023-12-19,1036571.6,121,1800
F00132,Bereket Yazılım A.Ş.,9623747783904752,Eğitim,İstanbul,1996-06-29,114357.3,6,1352
F00133,Rüzgar Teknoloji Ltd. Şti.,1527078153396276,Eğitim,İzmir,2013-04-07,1910766.02,11,1001
F00134,Erguvan Danışmanlık Ltd. Şti.,3348340142625473,Tekstil,Konya,2011-07-19,154616.81,28,1606
F00135,Deniz Grup A.Ş.,6124448942142344,Gıda ve İçecek,Antalya,2005-12-21,215294.4,26,718
F00136,Zirve Tarım Ltd. Şti.,5659584479866698,Otomotiv,Adana,2001-02-04,300803.4,31,1150
F00137,Nokta Enerji Ltd. Şti.,7788974452219440,Sağlık,Bursa,2001-03-16,106940.47,2,1786
F00138,Kıvılcım Yapı A.Ş.,3427057608773352,Gıda ve İçecek,Ankara,2010-09-25,121519.57,17,1581
F00139,Zirve Ticaret Ltd. Şti.,6429981496960920,Bilişim ve Yazılım,Trabzon,2006-10-25,1415898.32,11,1238
F00140,Toprak Makine Ltd. Şti.,5734065578901857,İnşaat,İzmir,1998-07-13,324608.27,48,1276
F00141,Mavera Yapı Ltd. Şti.,7440665624536738,Otomotiv,Adana,2007-05-31,93867.92,2,943
F00142,Nokta Gıda Ltd. Şti.,4950607760174983,Metal ve Makine,Kayseri,1995-09-17,694418.89,9,1217
F00143,Rüzgar Metal A.Ş.,9000853338250473,Sağlık,İstanbul,2005-11-08,122080.51,14,1328
F00144,Kıvılcım Gıda A.Ş.,1620881774230967,Eğitim,Ankara,2008-06-03,198700.64,51,1861
F00145,Cevher Danışmanlık Ltd. Şti.,3299060332943839,Finans ve Sigorta,Samsun,2008-11-28,45659.92,18,1166
F00146,Bahar Lojistik A.Ş.,4636685769995335,Bilişim ve Yazılım,Mersin,2019-02-18,204214.01,18,1336
F00147,Sahil Turizm A.Ş.,2285375570015881,Otomotiv,İstanbul,1999-12-18,345761.97,26,1488
F00148,Doruk Otomotiv A.Ş.,1634898871034100,Eğitim,Adana,2022-03-20,131726.1,7,968
F00149,Zirve Yapı Ltd. Şti.,8310021824560097,Gıda ve İçecek,Ankara,1998-12-14,104892.12,95,1162
F00150,Çınar Yazılım Ltd. Şti.,4772838159504692,Lojistik,İstanbul,2019-08-18,72206.35,18,1366
F00151,Çınar Yapı A.Ş.,0997936088876128,Lojistik,İstanbul,2013-09-14,216392.13,55,1564
F00152,Mavera Ticaret A.Ş.,1083617853156477,Tekstil,Konya,2019-01-09,149792.72,8,1249
F00153,Vadi Makine A.Ş.,6699311602106485,Bilişim ve Yazılım,Bursa,1995-07-02,702368.58,9,862
F00154,Aydın Enerji Ltd. Şti.,9132170659671650,Lojistik,Ankara,2000-10-11,254447.13,2,1900
F00155,Yıldız Lojistik A.Ş.,2433448663708695,Turizm ve Konaklama,Ankara,2007-12-03,92759.49,11,1405
F00156,Pusula Enerji A.Ş.,0363825594836968,Metal ve Makine,İstanbul,2012-08-03,195335.92,10,1526
F00157,Toprak Metal A.Ş.,8158978502827905,Tarım,İstanbul,2012-06-19,1438106.04,29,1843
F00158,Umut Yazılım A.Ş.,7785777595357287,Perakende Ticaret,Denizli,2017-10-30,84856.68,18,1446
F00159,Sahil Gıda A.Ş.,5894205717482558,Lojistik,İzmir,2005-06-20,394825.99,53,1333
F00160,Aydın Yazılım Ltd. Şti.,6183666819797122,Eğitim,İstanbul,2013-07-25,171775.95,22,866
F00161,Meridyen Ticaret Ltd. Şti.,4768444092829758,Finans ve Sigorta,İzmir,2014-08-05,206790.76,11,1123
F00162,Zirve Turizm A.Ş.,0486751562790672,İnşaat,İzmir,2001-07-29,858348.02,4,1197
F00163,Sahil Yazılım A.Ş.,8676432470363145,Otomotiv,İzmir,2002-01-07,370449.7,52,1396
F00164,Aydın Teknoloji A.Ş.,3518310734612125,Finans ve Sigorta,Konya,1995-05-11,751456.76,27,1437
F00165,Çınar Sistem A.Ş.,4406746988927130,Kimya,Kayseri,2008-09-11,80945.81,3,1341
F00166,Zirve İnşaat A.Ş.,3839493283580842,Eğitim,Konya,2009-12-19,147714.03,33,1623
F00167,Damla Gıda Ltd. Şti.,1673676051594791,Tarım,İzmir,2013-01-27,219022.1,4,1463
F00168,Anka Turizm Ltd. Şti.,7866586485011293,Tekstil,İzmir,1996-11-28,87575.42,6,1106
F00169,Kıvılcım Tarım A.Ş.,4688807551543056,Lojistik,Ankara,2017-12-19,230417.66,43,1398
F00170,Toros Lojistik Ltd. Şti.,2196177566444338,Sağlık,İzmir,2008-10-05,164795.31,2,1475
F00171,Kıvılcım Sistem Ltd. Şti.,6763944434597826,Bilişim ve Yazılım,Eskişehir,2011-03-23,113726.87,15,1293
F00172,Damla Makine Ltd. Şti.,8334100132422920,Otomotiv,Eskişehir,2016-11-02,674680.78,11,1382
F00173,Rüzgar Danışmanlık A.Ş.,1945413674058326,Metal ve Makine,İstanbul,2006-10-09,457861.43,110,1666
F00174,Nokta Turizm Ltd. Şti.,5865937349040797,Turizm ve Konaklama,İstanbul,2001-06-26,243417.48,13,1170
F00175,Toros Enerji Ltd. Şti.,1277643428947296,İnşaat,İzmir,2023-09-21,94372.47,7,1096
F00176,Deniz Grup Ltd. Şti.,7595293704181036,Lojistik,Antalya,2006-01-06,550567.71,4,1709
F00177,Deniz İnşaat A.Ş.,9472057153091738,Kimya,İstanbul,1996-10-06,613693.58,13,1400
F00178,Aydın Holding Ltd. Şti.,4631493635444152,Kimya,İstanbul,2019-08-28,145363.18,17,1726
F00179,Aydın Turizm A.Ş.,7601693436489377,Gıda ve İçecek,Ankara,2004-08-01,123813.03,2,1520
F00180,Pusula Ticaret A.Ş.,1796696236851859,Metal ve Makine,Ankara,1997-10-21,383387.91,4,1089
F00181,Doğuş Danışmanlık Ltd. Şti.,7715739186971263,Gıda ve İçecek,İstanbul,2013-08-14,104295.69,6,1302
F00182,Erguvan Tekstil Ltd. Şti.,7581363974263323,İnşaat,Kayseri,2011-12-09,200145.12,7,1100
F00183,Erguvan Yapı A.Ş.,5766760345030565,Lojistik,Adana,2007-07-27,208634.09,15,1305
F00184,Berrak Metal Ltd. Şti.,7588926192513981,Enerji,İzmir,2004-09-15,959851.37,22,922
F00185,Erguvan Tarım A.Ş.,1583290596415737,Gıda ve İçecek,Ankara,2019-04-20,477395.49,24,1269
F00186,Bahar Danışmanlık A.Ş.,6101255561350863,Otomotiv,Ankara,2016-09-03,51807.11,13,1397
F00187,Yörünge Kimya Ltd. Şti.,4164397607270574,Kimya,İstanbul,2009-09-26,78134.67,3,1283
F00188,Bumerang Tekstil Ltd. Şti.,6108503554021325,Tekstil,Antalya,2008-05-20,207651.21,8,1374
F00189,Bereket Yazılım A.Ş.,4014775532089273,Metal ve Makine,İstanbul,2012-11-07,79773.45,8,1559
F00190,Kıvılcım Enerji A.Ş.,0328843257718739,Eğitim,Konya,2017-08-02,182596.29,2,1168
F00191,Rüzgar Makine A.Ş.,0356750288444861,Finans ve Sigorta,Ankara,2001-10-02,82687.66,17,1495
F00192,Erguvan Teknoloji Ltd. Şti.,0293392876524515,Enerji,Konya,2017-06-11,43275.76,28,1066
F00193,Sahil Metal A.Ş.,0239675766207702,Enerji,İstanbul,2013-02-09,1491213.12,12,1026
F00194,Berrak İnşaat Ltd. Şti.,9982810588579721,Metal ve Makine,İstanbul,2013-11-06,76405.91,19,1282
F00195,Yıldız Yazılım Ltd. Şti.,1058835884114943,Otomotiv,İzmir,2010-06-14,241272.12,67,1190
F00196,Ege Turizm Ltd. Şti.,3154162529020593,Tarım,Mersin,2008-01-03,286633.35,55,1481
F00197,Berrak Metal Ltd. Şti.,7718680597468884,Perakende Ticaret,Ankara,2013-09-12,45831.96,22,1051
F00198,Bahar Enerji Ltd. Şti.,1241774609791541,Kimya,Gaziantep,1996-10-31,1261091.64,5,1900
F00199,Doğuş Lojistik Ltd. Şti.,2267016923788893,Turizm ve Konaklama,Trabzon,2013-04-02,1347974.41,6,1334
F00200,Zirve Endüstri Ltd. Şti.,6614831313480392,Metal ve Makine,Mersin,2006-08-07,614773.21,29,1532
F00201,Kıvılcım Grup Ltd. Şti.,7319675013318394,Bilişim ve Yazılım,Trabzon,2019-12-05,1063818.06,11,1289
F00202,Bumerang Endüstri Ltd. Şti.,5945950125118908,Bilişim ve Yazılım,Antalya,2000-12-02,183221.23,31,1509
F00203,Yörünge Metal A.Ş.,9765454952708857,Turizm ve Konaklama,İstanbul,2009-08-16,369687.02,29,712
F00204,Erguvan Holding Ltd. Şti.,3101150037143091,Enerji,İstanbul,2000-01-28,377405.58,16,1900
F00205,Ege Danışmanlık Ltd. Şti.,2902418082483773,İnşaat,Ankara,1995-03-01,49938.78,63,1350
F00206,Pusula Kimya A.Ş.,8270572591095496,Enerji,İstanbul,2020-08-14,459497.36,71,1568
F00207,Bahar Endüstri Ltd. Şti.,0024524075506037,Metal ve Makine,Bursa,2018-12-29,416818.07,17,1254
F00208,Cevher Danışmanlık A.Ş.,0101155712158858,Sağlık,Konya,2017-04-07,260058.52,6,1386
F00209,Meridyen Lojistik A.Ş.,3963314264210739,Bilişim ve Yazılım,Ankara,2021-04-06,20547.12,20,1363
F00210,Kıvılcım Lojistik Ltd. Şti.,5424330920359744,Kimya,Konya,1999-12-19,185382.38,16,969
F00211,Damla İnşaat Ltd. Şti.,1726188644683197,Otomotiv,Mersin,2023-12-20,2240471.73,12,1356
F00212,Meridyen Teknoloji A.Ş.,6572966148967500,Finans ve Sigorta,Adana,2004-12-29,92787.22,13,1816
F00213,Kaptan Metal A.Ş.,2137613592725099,Gıda ve İçecek,Antalya,2016-08-30,838615.7,31,1563
F00214,Deniz Yazılım A.Ş.,4177113048490002,Finans ve Sigorta,Eskişehir,1997-08-18,180882.55,3,1249
F00215,Bumerang Sistem Ltd. Şti.,4315277766944992,Gıda ve İçecek,Bursa,2004-12-28,207013.94,38,1492
F00216,Mavera Lojistik Ltd. Şti.,4740715576484863,Tekstil,İzmir,2002-07-28,1580959.79,44,1263
F00217,Berrak Yazılım Ltd. Şti.,2972616577743892,Gıda ve İçecek,İstanbul,2016-12-05,37248.16,53,1807
F00218,Vadi Tarım A.Ş.,2876876146318802,Tarım,İstanbul,2005-05-15,59704.77,60,1514
F00219,Pusula Yazılım A.Ş.,6821238179053740,Gıda ve İçecek,İstanbul,2016-08-05,320216.96,67,1803
F00220,Erguvan Yapı Ltd. Şti.,0210073354892901,Bilişim ve Yazılım,Eskişehir,1997-01-04,549335.17,21,1584
F00221,Yörünge Otomotiv A.Ş.,0633035897002993,Bilişim ve Yazılım,İstanbul,2008-06-02,172808.07,12,1129
F00222,Damla Otomotiv Ltd. Şti.,9968168341942961,Metal ve Makine,İstanbul,2005-01-05,186028.7,9,1209
F00223,Berrak Metal A.Ş.,7186868721804001,Perakende Ticaret,Ankara,2006-01-13,311894.78,9,1550
F00224,Yörünge Ticaret Ltd. Şti.,6448366495751027,Tarım,Konya,2020-03-23,45046.35,12,1439
F00225,Umut Sistem A.Ş.,4550507863254577,Metal ve Makine,İstanbul,1997-03-31,190671.6,11,924
F00226,Mavera Sistem A.Ş.,9663975145097106,Finans ve Sigorta,Bursa,2010-11-05,397172.04,25,1548
F00227,Bereket Enerji Ltd. Şti.,2405770504487593,Enerji,Antalya,2008-01-10,841212.65,16,1543
F00228,Kervan Grup A.Ş.,4824593543834143,Lojistik,İstanbul,2010-07-20,318602.59,26,926
F00229,Nokta Tarım A.Ş.,9275962900383372,Kimya,İzmir,2022-04-04,100414.4,65,661
F00230,Aydın Makine A.Ş.,6045178124181613,Enerji,Kayseri,2016-05-22,229993.03,43,1372
F00231,Yıldız Teknoloji Ltd. Şti.,2957059854625133,Bilişim ve Yazılım,İstanbul,2010-02-12,171869.0,15,1294
F00232,Meridyen Makine A.Ş.,0523662067195632,Gıda ve İçecek,Konya,2007-08-27,277599.43,6,1732
F00233,Kervan Danışmanlık A.Ş.,3571343401029034,Turizm ve Konaklama,Mersin,2001-11-05,1284129.24,11,912
F00234,Nokta Yapı Ltd. Şti.,5781567593447882,Tekstil,İstanbul,1999-07-31,150809.47,11,1551
F00235,Kıvılcım Kimya Ltd. Şti.,6057434688823019,Turizm ve Konaklama,Adana,2018-08-25,88537.85,6,1481
F00236,Rüzgar Grup Ltd. Şti.,1082032081563351,Lojistik,İstanbul,2001-09-10,753737.71,7,1000
