company_id,yil,ciro_tl,net_kar_tl,toplam_borc_tl,ozkaynak_tl
F00016,2023,423878.52,60248.44,44324.66,409664.69
F00016,2024,433829.48,75285.82,370178.69,414933.5
F00016,2025,321371.44,12172.23,251183.31,365640.03
F00017,2021,870975.52,97357.45,234981.46,860602.12
F00017,2022,907722.26,164980.64,251511.3,880747.02
F00017,2023,1483051.97,140371.5,762709.32,936979.3
F00017,2024,1511872.06,378196.12,917327.09,1115574.66
F00017,2025,1227718.38,258262.22,499240.05,1008235.68
F00018,2021,1039931.09,102229.04,950512.32,1003235.76
F00018,2022,1231880.17,293025.42,912222.36,1128637.88
F00018,2023,1485217.51,72377.77,560097.06,964675.17
F00018,2024,1189617.91,232023.34,663612.75,1050440.76
F00018,2025,1778031.11,141436.66,1121470.54,1048765.27
F00019,2021,622760.75,98260.88,267042.68,303056.96
F00019,2022,767390.95,86520.17,519851.41,301756.44
F00019,2023,745930.11,105794.88,434609.43,276404.44
F00019,2024,1440444.12,115306.66,514257.11,286500.96
F00019,2025,1479860.55,439195.74,697358.05,460221.79
F00020,2021,4817116.83,278703.19,4002446.06,1742394.16
F00020,2022,4930356.54,415669.17,1752620.42,1829125.76
F00020,2023,4715661.76,754386.49,1906125.31,2139609.59
F00020,2024,4645375.23,580742.83,3333358.02,1730420.19
F00020,2025,10012957.57,2638843.6,6592980.77,3183638.06
F00021,2021,325790.99,87998.34,283740.23,206244.65
F00021,2022,375490.42,19477.99,328658.23,156238.25
F00021,2023,253436.66,8679.96,54169.52,147989.58
F00021,2024,451327.08,71185.9,115444.91,182195.64
F00021,2025,578233.47,5821.32,425310.83,147608.32
F00022,2021,313967.61,90623.82,136166.11,374596.15
F00022,2022,313017.98,91013.92,106948.45,424002.26
F00022,2023,257528.22,70522.52,83379.24,403517.21
F00022,2024,331139.87,42352.52,35927.33,368210.9
F00022,2025,226333.77,44782.73,141518.64,382350.94
F00023,2021,507070.71,101675.71,150671.28,488601.37
F00023,2022,518802.86,67435.58,129894.05,435515.23
F00023,2023,606611.69,170106.04,498361.59,536856.93
F00023,2024,592204.19,71112.69,249523.17,452558.87
F00023,2025,974736.44,259932.23,816223.41,503560.51
F00024,2021,1741415.41,462744.32,641652.83,1781589.28
F00024,2022,1765476.22,362027.78,580847.26,1569930.46
F00024,2023,2404469.7,448360.59,1701550.26,1706589.63
F00024,2024,2127953.7,380845.37,1410616.62,1627904.38
F00024,2025,3873985.66,149956.73,2611708.88,1519913.18
F00025,2021,893868.7,201654.46,360825.83,500473.67
F00025,2022,776656.81,157898.94,360193.53,449831.57
F00025,2023,617577.39,46715.48,282718.5,412013.78
F00025,2024,1020553.81,81368.98,468508.07,436295.94
F00025,2025,417957.62,43838.57,195315.03,404071.3
F00026,2021,1255996.61,301705.68,721142.56,630335.29
F00026,2022,1312157.67,242895.59,457600.85,567357.98
F00026,2023,1593043.17,229105.21,197476.32,519087.92
F00026,2024,1614647.02,101788.36,218271.62,509250.13
F00026,2025,2366812.7,707096.1,758883.29,1110033.42
F00027,2021,1730354.74,445617.87,231849.55,1986938.09
F00027,2022,1987066.96,497505.97,1297665.73,2036011.53
F00027,2023,1854219.01,211305.8,470195.49,1827457.78
F00027,2024,2256998.92,387222.58,943428.03,2013475.19
F00027,2025,2768239.95,334820.33,2251798.53,2029776.52
F00028,2021,694287.13,180662.02,354313.7,418321.44
F00028,2022,802311.27,18066.52,593205.93,309193.68
F00028,2023,729033.22,153441.33,556891.39,424009.83
F00028,2024,904023.8,236104.46,378702.06,457432.83
F00028,2025,451379.68,88825.0,76710.18,384057.55
F00029,2021,313165.82,64651.3,67514.77,154379.44
F00029,2022,368768.2,108664.84,67354.38,160766.5
F00029,2023,411009.05,20421.25,288696.82,124351.9
F00029,2024,279612.19,24780.34,51591.75,124186.69
F00029,2025,344049.73,68609.51,125104.48,168245.46
F00030,2021,601132.91,97708.61,111160.9,544378.17
F00030,2022,743120.13,162704.23,572349.59,601617.58
F00030,2023,994296.39,68686.81,259710.59,517904.52
F00030,2024,639753.47,179445.89,425335.87,644219.09
F00030,2025,1623725.51,364151.98,424469.57,727759.24
F00031,2021,687868.42,43384.14,617475.05,540107.02
F00031,2022,698985.45,51889.14,224062.35,557910.06
F00031,2023,499564.51,33298.59,396054.24,529470.35
F00031,2024,831635.14,191344.1,513189.34,663687.01
F00031,2025,872835.73,12898.91,235809.65,520657.5
F00032,2021,604908.86,107954.18,445382.98,288579.63
F00032,2022,707698.05,39643.68,195072.55,214520.73
F00032,2023,567241.46,141497.51,278096.85,327989.84
F00032,2024,791089.71,48195.85,672226.27,207825.12
F00032,2025,523722.75,114467.1,310788.42,229731.86
F00033,2021,3445467.66,665394.91,1881831.35,1788556.32
F00033,2022,3706303.34,193840.43,688022.31,1322156.32
F00033,2023,2910537.36,770646.78,1583593.97,1601948.08
F00033,2024,2431580.44,665171.88,2147285.82,1715926.98
F00033,2025,1980127.18,85357.26,1699879.3,1252380.88
F00034,2021,827606.79,134566.26,782014.87,432730.86
F00034,2022,790747.02,91015.48,500252.24,399805.0
F00034,2023,665084.18,62281.11,266984.38,345094.93
F00034,2024,1064093.9,209774.53,800740.13,407544.01
F00034,2025,1517375.41,98698.83,553012.89,401530.92
F00035,2021,265475.76,54860.97,234354.05,248653.98
F00035,2022,297099.49,83256.34,188812.95,268769.19
F00035,2023,283223.97,58178.53,74806.66,283354.55
F00035,2024,472225.27,26631.49,87435.55,239893.36
F00035,2025,423070.04,11971.24,247011.09,233884.46
F00036,2021,223393.28,6051.84,195273.01,76732.54
F00036,2022,216712.52,29521.16,55464.29,94446.7
F00036,2023,223024.03,46364.63,78625.92,90155.74
F00036,2024,291103.7,21829.15,205973.13,81172.84
F00036,2025,216770.58,54067.79,136429.77,114020.79
F00037,2021,940166.06,41413.33,777431.61,328899.02
F00037,2022,808391.71,129802.39,419726.17,416864.03
F00037,2023,1039582.33,291264.69,690563.45,418314.65
F00037,2024,604812.95,113940.71,97913.7,403583.42
F00037,2025,850842.96,115407.44,477741.19,416899.0
F00038,2021,2033605.86,527460.59,1166259.95,942214.05
F00038,2022,2152432.08,586852.44,966172.17,1064831.36
F00038,2023,2823872.33,235234.2,1336379.79,744934.01
F00038,2024,3112130.42,84022.24,423475.15,677701.76
F00038,2025,2865890.97,775229.05,1283163.86,1201904.36
F00039,2021,416003.49,97777.16,155244.7,237581.61
F00039,2022,430621.8,123450.47,162946.17,258033.24
F00039,2023,385977.98,30526.94,263287.98,212120.68
F00039,2024,242452.98,10840.94,104574.56,190216.5
F00039,2025,380608.58,49813.75,76413.3,235294.27
F00040,2021,1056109.97,254777.67,910631.08,657621.28
F00040,2022,1121894.81,138289.18,866480.16,558987.96
F00040,2023,906343.81,94946.18,500207.07,548671.27
F00040,2024,1452677.64,295880.2,302619.31,644614.09
F00040,2025,1522852.99,381265.82,943491.83,790685.97
F00041,2021,929312.38,269290.54,126568.97,959048.04
F00041,2022,1157470.55,87986.01,379429.96,790031.26
F00041,2023,1204559.31,350642.29,954967.37,924086.65
F00041,2024,1055239.74,206495.52,810117.83,859580.94
F00041,2025,1082344.86,152093.54,549866.32,906583.38
F00042,2021,289482.38,71888.47,124738.35,222548.36
F00042,2022,306325.25,63811.87,220521.71,253077.73
F00042,2023,335191.2,51302.92,297181.89,230508.58
F00042,2024,166985.38,8558.75,79309.94,195044.09
F00042,2025,327486.16,40990.51,263854.54,227597.47
F00043,2021,384708.88,53656.27,59976.06,254072.91
F00043,2022,339331.63,45761.2,57214.64,251535.43
F00043,2023,384904.9,101131.49,114939.32,325686.86
F00043,2024,439996.8,94191.52,352826.44,275913.57
F00043,2025,405693.97,79849.33,284683.38,275878.32
F00044,2021,222000.93,33259.77,149413.43,170626.63
F00044,2022,258994.51,35273.26,66561.59,183399.16
F00044,2023,308616.77,9290.78,171346.14,158005.33
F00044,2024,371356.85,105938.61,308138.43,202713.64
F00044,2025,177131.51,41354.9,100803.41,164614.95
F00045,2021,68337.44,4345.41,20913.84,87359.37
F00045,2022,65569.65,9784.09,25750.74,90463.73
F00045,2023,78755.76,4889.75,14502.94,88460.98
F00045,2024,67350.95,16199.96,20568.18,95271.48
F00045,2025,94550.52,5292.64,76934.79,88963.18
F00046,2021,674702.62,51664.03,76304.86,475322.13
F00046,2022,835693.04,109133.8,585816.94,524594.2
F00046,2023,868814.47,62716.41,637564.54,491592.84
F00046,2024,1347108.1,204329.24,168651.3,496591.21
F00046,2025,1724839.75,354521.66,693431.4,655530.87
F00047,2021,149404.88,34056.0,103754.07,124681.61
F00047,2022,161533.97,33740.6,128939.58,118080.0
F00047,2023,160326.75,19305.93,134075.7,111101.62
F00047,2024,221533.37,38119.86,60931.89,113187.9
F00047,2025,129242.01,38000.87,70090.76,113332.17
F00048,2021,248636.8,41296.41,101626.47,110082.36
F00048,2022,300343.68,58823.21,121487.81,123447.25
F00048,2023,353230.0,32074.87,325453.05,106375.85
F00048,2024,346384.3,27518.75,172091.06,102485.4
F00048,2025,691793.25,153589.85,217354.03,171839.39
F00049,2021,170989.67,33390.79,87205.84,205886.17
F00049,2022,165921.15,15403.57,93425.26,193422.38
F00049,2023,232241.82,23884.57,44209.05,202319.89
F00049,2024,247567.94,22735.0,82672.22,192414.6
F00049,2025,349984.33,63939.0,211775.37,225939.82
F00050,2021,1564743.6,440296.08,757537.41,1067591.17
F00050,2022,1415818.39,114559.63,466932.78,760502.32
F00050,2023,1306959.17,262096.45,859957.81,830172.23
F00050,2024,1100375.0,312213.99,256730.1,919924.38
F00050,2025,2007636.31,507380.45,1115348.33,821820.47
F00051,2021,37513.53,10790.76,27196.73,28431.63
F00051,2022,41810.49,5220.8,15539.32,27874.93
F00051,2023,34398.5,8203.22,5138.99,28381.82
F00051,2024,28831.67,5262.93,3109.29,25813.91
F00051,2025,69434.08,5363.27,20061.65,27969.36
F00052,2021,202969.71,8963.63,140246.85,85378.33
F00052,2022,199958.95,22725.11,101377.34,96521.75
F00052,2023,217770.44,63435.81,131842.47,124916.06
F00052,2024,118674.25,21965.8,97197.92,99168.27
F00052,2025,247335.55,63710.69,98878.81,105173.02
F00053,2021,772190.75,39395.96,149586.77,316831.12
F00053,2022,960542.83,53541.0,485810.61,333726.69
F00053,2023,998013.99,124693.83,326992.41,374195.62
F00053,2024,1195750.9,280098.83,1161064.46,441051.95
F00053,2025,1289354.79,176429.27,642206.01,384306.11
F00054,2021,753043.34,178628.95,150113.33,492998.59
F00054,2022,755789.4,191009.08,649613.61,409869.52
F00054,2023,562596.41,147785.24,383849.69,427079.73
F00054,2024,401888.85,117719.68,211444.81,412691.82
F00054,2025,882737.22,146608.16,566032.63,442961.66
F00055,2021,853477.4,101298.56,610199.7,391464.35
F00055,2022,862043.1,162728.99,228064.24,424376.72
F00055,2023,742749.15,135699.77,306287.12,440965.61
F00055,2024,600741.51,82451.72,70573.23,387204.56
F00055,2025,895957.92,96456.89,642413.03,378952.49
F00056,2021,1251691.82,276050.2,869899.41,755195.72
F00056,2022,1375678.44,33524.86,1137505.55,579987.77
F00056,2023,1599083.58,411180.12,214961.81,832811.02
F00056,2024,1925923.81,195045.61,662737.2,705829.66
F00056,2025,730791.06,122938.43,211786.57,597122.7
F00057,2021,364034.99,103909.5,168189.05,332727.14
F00057,2022,452940.03,21369.66,49512.26,256526.29
F00057,2023,378861.42,66805.96,252295.92,274043.82
F00057,2024,681631.59,50718.34,320573.24,282792.81
F00057,2025,573594.54,73979.69,488209.02,279401.14
F00058,2021,1067677.85,119542.67,129190.58,448407.91
F00058,2022,881056.9,163071.36,579178.51,566112.91
F00058,2023,815670.89,205493.05,387436.44,486147.91
F00058,2024,557363.35,73622.94,492722.47,469953.84
F00058,2025,501993.57,124849.05,272174.12,473093.19
F00059,2021,86423.35,19040.97,70970.29,44558.83
F00059,2022,98355.76,18427.65,63102.2,39737.13
F00059,2023,108340.67,8640.96,18646.75,35729.87
F00059,2024,96529.49,11730.04,58882.32,41034.45
F00059,2025,132625.24,21005.89,74254.8,38454.17
F00060,2021,128572.93,8164.51,96618.76,108102.22
F00060,2022,126517.04,20935.97,14951.72,117917.0
F00060,2023,109297.01,27246.74,72229.96,111301.62
F00060,2024,158256.31,17606.58,127187.75,108993.42
F00060,2025,84546.62,6364.65,30880.44,108735.12
F00061,2021,348888.49,65328.24,281082.54,315914.6
F00061,2022,393935.78,93255.75,330197.26,337173.59
F00061,2023,317527.09,93875.41,35797.37,300024.43
F00061,2024,596445.87,119082.78,201948.24,338943.77
F00061,2025,416220.02,97071.62,72198.53,304999.22
F00062,2021,139963.15,23815.25,70372.53,80507.46
F00062,2022,143275.98,22844.65,55953.62,76102.18
F00062,2023,137412.27,18587.73,62923.31,70344.44
F00062,2024,197315.9,36336.66,56050.0,83295.89
F00062,2025,248590.06,26325.84,86183.83,83532.3
F00063,2021,726181.62,14594.89,116715.19,432558.19
F00063,2022,906113.83,99417.98,654291.58,483554.43
F00063,2023,788280.62,157521.39,483887.32,539407.79
F00063,2024,925504.44,212087.25,452903.47,592689.43
F00063,2025,1958393.72,540094.13,1646021.96,933664.9
F00064,2021,81178.6,11767.67,48107.84,106503.61
F00064,2022,80351.27,21952.19,21429.97,116787.83
F00064,2023,77009.9,5212.12,32559.07,101902.86
F00064,2024,127438.96,30585.24,32075.8,129099.82
F00064,2025,103982.34,25647.68,24190.85,121991.12
F00065,2021,865055.08,151995.89,771184.34,433099.47
F00065,2022,829202.97,208571.02,374604.7,445867.96
F00065,2023,688415.53,154506.32,224750.56,508765.13
F00065,2024,462188.62,74356.34,278883.06,414221.38
F00065,2025,959613.79,83418.93,829492.45,426673.8
F00066,2021,1416579.02,235329.46,454911.17,590674.12
F00066,2022,1440040.17,294660.82,758222.69,607926.89
F00066,2023,1601879.13,69605.55,680431.9,500181.33
F00066,2024,1470187.94,80083.43,1254597.14,542182.77
F00066,2025,1386262.94,265335.24,1219838.0,608202.66
F00067,2021,123708.74,22707.34,104794.36,114000.17
F00067,2022,132759.42,36358.0,34251.48,132121.14
F00067,2023,117284.32,13291.97,103060.67,110011.63
F00067,2024,90434.16,10918.78,73904.71,114905.74
F00067,2025,115517.68,10542.96,30782.93,108797.79
F00068,2021,3978458.13,519627.79,1915704.97,2043754.18
F00068,2022,4960132.7,774379.73,578244.91,2366774.5
F00068,2023,5415979.03,463011.32,4890394.78,1932557.68
F00068,2024,5776617.79,700730.35,2391197.57,2326114.53
F00068,2025,7997308.62,676939.2,6566161.42,2026266.85
F00069,2021,3850426.77,628425.87,1938118.83,1600400.17
F00069,2022,4723803.94,711514.97,2718774.86,1642623.28
F00069,2023,5107579.8,1472225.46,4283047.94,2700276.94
F00069,2024,4201157.37,561845.2,2445742.82,1853220.81
F00069,2025,7938193.08,173782.13,3021852.14,1435979.86
F00070,2021,1202829.7,271673.78,963852.42,737035.65
F00070,2022,1238500.13,60196.35,277927.13,534858.89
F00070,2023,1387357.7,60725.86,983442.8,547193.4
F00070,2024,1260798.22,116279.1,788835.05,627473.45
F00070,2025,2480130.91,653279.61,1828297.48,825910.22
F00071,2021,198472.97,31811.34,32401.65,75628.89
F00071,2022,183425.08,32073.47,85928.81,87781.28
F00071,2023,170405.84,6220.99,37180.06,61510.64
F00071,2024,182244.5,40226.04,68855.77,95863.09
F00071,2025,152714.0,31504.13,110163.21,69433.52
F00072,2021,2412300.67,681511.78,1981334.52,1266388.69
F00072,2022,2293709.7,543623.71,933243.75,1389880.18
F00072,2023,2090583.48,189272.2,1734152.92,1135503.71
F00072,2024,1250334.63,62135.73,1104079.55,1076428.15
F00072,2025,1825188.35,473885.13,876854.72,1281731.24
F00073,2021,621922.33,79220.12,233904.27,228540.57
F00073,2022,690399.43,108903.62,571827.72,214421.21
F00073,2023,453584.25,16118.91,92070.75,191612.17
F00073,2024,536361.38,99822.47,336500.37,259254.19
F00073,2025,902804.39,205904.46,594464.46,289571.87
F00074,2021,844882.9,210024.1,311894.42,476844.62
F00074,2022,740924.4,80192.11,368055.79,337851.86
F00074,2023,719715.67,40751.93,641578.1,331377.35
F00074,2024,471681.74,124310.51,344572.34,402985.81
F00074,2025,535968.76,102067.96,401397.82,368763.89
F00075,2021,2151172.47,364427.37,1153638.14,1019362.91
F00075,2022,2112291.94,357995.52,660232.54,1111726.51
F00075,2023,2691198.02,409957.75,343675.49,928619.56
F00075,2024,2886182.97,113636.58,661033.12,849817.1
F00075,2025,2455765.38,528117.77,1102327.07,1166108.33
F00076,2021,1251117.0,46771.15,769472.8,1196625.37
F00076,2022,1289930.76,17106.98,337405.66,1172183.13
F00076,2023,1030565.86,38023.38,486515.03,1197984.13
F00076,2024,852687.06,129429.78,189444.96,1241694.99
F00076,2025,812990.31,110696.07,647756.1,1271377.67
F00077,2021,1217577.16,322708.44,692491.87,1012347.48
F00077,2022,1272282.62,373664.22,388507.22,1042366.72
F00077,2023,1272105.86,279282.38,847652.44,938975.85
F00077,2024,1155972.29,217592.77,1040161.4,882361.25
F00077,2025,1439746.13,363437.71,456845.71,1032573.6
F00078,2021,1660700.13,303746.34,214116.0,579470.69
F00078,2022,1938300.83,299961.77,264952.02,637852.8
F00078,2023,1779001.84,129296.27,859809.58,598032.62
F00078,2024,2321440.81,656322.07,2193638.63,768057.82
F00078,2025,1732835.42,113323.4,471368.74,553620.1
F00079,2021,708302.75,84759.81,531297.59,275291.02
F00079,2022,784227.98,18335.44,683572.54,237933.6
F00079,2023,658951.21,68405.08,207501.51,278477.93
F00079,2024,799545.65,78953.24,314907.49,301602.84
F00079,2025,644541.09,181017.2,467266.04,331057.56
F00080,2021,238436.41,27456.48,27556.75,137035.51
F00080,2022,269265.85,46082.14,200990.83,146632.51
F00080,2023,408464.96,31408.05,278929.79,138276.65
F00080,2024,350020.99,99824.5,40181.26,149126.31
F00080,2025,681927.8,142864.29,450404.85,218205.31
F00081,2021,190298.08,9851.9,158968.35,88602.84
F00081,2022,224511.31,63582.8,40482.31,125160.14
F00081,2023,262531.28,55572.56,141358.58,98261.65
F00081,2024,342664.46,29210.55,133342.84,110065.62
F00081,2025,153912.74,26169.9,22637.64,95189.58
F00082,2021,1028390.57,185508.95,370106.09,877497.0
F00082,2022,1087331.73,26688.25,583729.92,760701.71
F00082,2023,961542.69,242415.35,426798.36,882423.0
F00082,2024,963437.67,101432.83,409223.86,836814.25
F00082,2025,1780761.67,273273.55,973640.72,898593.53
F00083,2021,622150.8,115207.31,137540.31,446607.3
F00083,2022,674734.11,35288.05,269611.86,386715.64
F00083,2023,1087575.77,91434.67,650942.85,390498.9
F00083,2024,1386206.53,114330.62,458053.41,425268.22
F00083,2025,746150.95,86165.44,149388.18,418621.42
F00084,2021,523210.59,42845.98,260238.1,240622.43
F00084,2022,581368.86,61729.1,129280.3,240216.22
F00084,2023,648988.03,84050.68,348123.12,281635.01
F00084,2024,332058.05,98497.39,270380.4,232425.03
F00084,2025,433684.09,17899.38,283161.91,213709.71
F00085,2021,9347210.26,1155385.69,3220789.37,4621424.48
F00085,2022,8871546.45,2483994.3,2316925.53,5086883.02
F00085,2023,11830145.86,2171857.75,2032928.24,4581772.95
F00085,2024,9800992.54,2452760.31,1481554.2,5594682.44
F00085,2025,13092548.01,809416.59,10148653.62,4089252.59
F00086,2021,342361.51,64210.77,48719.13,146025.7
F00086,2022,321313.41,9939.82,249133.82,129053.0
F00086,2023,339709.49,95021.42,151156.12,191454.72
F00086,2024,535567.83,152938.32,232594.97,273476.57
F00086,2025,288291.2,54174.58,92265.94,144351.26
F00087,2021,202934.03,39909.24,154676.11,80715.76
F00087,2022,201980.22,9324.62,152245.69,74062.0
F00087,2023,263013.02,57366.82,222990.14,103168.72
F00087,2024,225280.92,44524.32,25563.26,87516.66
F00087,2025,209204.46,54820.8,26299.51,91359.3
F00088,2021,262558.45,63887.58,113627.38,288492.06
F00088,2022,230635.61,60068.44,196561.29,282891.21
F00088,2023,264821.63,27954.08,86839.62,262563.68
F00088,2024,234031.08,47156.91,148987.29,283469.34
F00088,2025,165476.44,48951.85,62793.14,261910.55
F00089,2021,62401.97,2385.7,38829.15,52724.6
F00089,2022,54168.91,14679.07,39585.68,59551.71
F00089,2023,48191.81,3317.69,16487.23,53035.66
F00089,2024,96763.94,28608.88,65514.95,78728.45
F00089,2025,38159.8,2194.13,16522.94,53149.97
F00090,2021,875481.79,101918.95,704150.46,598058.14
F00090,2022,965738.01,210897.43,380154.69,690742.87
F00090,2023,1427694.18,217178.26,651855.57,722172.99
F00090,2024,1205095.56,119388.97,240314.99,581615.25
F00090,2025,1931288.35,519187.97,467302.65,919006.8
F00091,2021,57617.63,7089.9,32996.5,33067.16
F00091,2022,63679.02,18871.92,34759.59,35625.32
F00091,2023,55560.79,7907.75,35245.57,33555.93
F00091,2024,65117.41,10454.84,46054.92,32319.05
F00091,2025,70049.92,20735.01,24889.68,42819.44
F00092,2021,73749.95,7972.68,53527.87,78235.13
F00092,2022,85923.36,22243.55,39510.04,88573.27
F00092,2023,98929.87,21146.97,9982.26,93372.33
F00092,2024,54474.48,14018.32,23840.05,81680.39
F00092,2025,127423.89,22249.61,68546.83,82393.94
F00093,2021,494660.58,17308.37,81790.86,225094.96
F00093,2022,560469.1,140017.9,162364.61,295517.35
F00093,2023,445428.69,38961.97,165041.44,250265.03
F00093,2024,691646.75,34100.7,104391.23,226128.15
F00093,2025,341291.05,38173.37,37381.3,244690.18
F00094,2021,162446.92,23084.22,45318.4,82842.91
F00094,2022,172766.62,17657.36,59253.43,86602.92
F00094,2023,218746.64,47099.16,129475.24,96975.29
F00094,2024,150309.45,9968.52,144994.47,78279.89
F00094,2025,327324.79,36723.46,195342.61,94701.61
F00095,2021,793246.24,113301.92,402619.84,641391.59
F00095,2022,673891.24,135332.97,291426.84,610504.19
F00095,2023,897770.34,98015.69,155754.07,630544.85
F00095,2024,693605.23,106327.37,618576.99,630144.75
F00095,2025,1004954.68,44425.32,182032.37,565822.01
F00096,2021,1033182.76,82139.75,473022.44,590835.3
F00096,2022,1224990.09,259857.89,287843.82,714065.83
F00096,2023,1421925.51,200446.29,384692.9,622026.65
F00096,2024,1708624.69,52054.51,1462358.02,557623.81
F00096,2025,2411157.87,703464.14,1902214.76,968579.83
F00097,2021,541823.52,72282.35,158312.34,225452.26
F00097,2022,450608.28,81635.08,164023.59,241220.2
F00097,2023,559176.06,13958.67,168404.88,191414.03
F00097,2024,382164.18,99288.09,293269.8,250801.17
F00097,2025,455307.31,117391.19,318572.63,301406.04
F00098,2021,134416.06,38980.34,116674.53,94735.08
F00098,2022,144745.38,28676.24,73270.47,86640.54
F00098,2023,217772.73,60291.73,136164.42,102140.11
F00098,2024,231995.59,36565.09,106846.6,80163.1
F00098,2025,245010.95,60492.36,33245.34,97910.54
F00099,2021,682505.41,121134.46,603412.77,824036.38
F00099,2022,700467.63,78092.61,159099.68,840938.34
F00099,2023,673958.43,160149.21,549941.21,857691.56
F00099,2024,744114.67,187898.4,243407.49,881779.67
F00099,2025,722371.89,87046.72,501379.69,844088.65
F00100,2021,326278.09,56178.01,277058.26,169405.03
F00100,2022,396770.41,55348.5,320285.52,167257.09
F00100,2023,462193.36,78310.22,363109.23,211269.54
F00100,2024,382524.21,63952.35,63118.54,158765.61
F00100,2025,822884.39,121612.55,342396.28,226914.27
F00101,2021,796570.29,107324.2,199630.4,387125.27
F00101,2022,749240.38,44073.69,96993.33,383402.13
F00101,2023,847312.53,244615.42,492823.35,490804.71
F00101,2024,1052748.86,48409.98,346559.16,385568.6
