payment_id,loan_id,taksit_no,vade_tarihi,tutar_tl,odeme_durumu,gecikme_gun
P0000360,L000017,14,2024-06-18,1026.99,Zamanında Ödendi,0
P0000361,L000017,15,2024-07-18,1026.99,Zamanında Ödendi,0
P0000362,L000017,16,2024-08-17,1026.99,Zamanında Ödendi,0
P0000363,L000017,17,2024-09-16,1026.99,Zamanında Ödendi,0
P0000364,L000017,18,2024-10-16,1026.99,Zamanında Ödendi,0
P0000365,L000017,19,2024-11-15,1026.99,Zamanında Ödendi,0
P0000366,L000017,20,2024-12-15,1026.99,Zamanında Ödendi,0
P0000367,L000017,21,2025-01-14,1026.99,Zamanında Ödendi,0
P0000368,L000017,22,2025-02-13,1026.99,Zamanında Ödendi,0
P0000369,L000017,23,2025-03-15,1026.99,Zamanında Ödendi,0
P0000370,L000017,24,2025-04-14,1026.99,Zamanında Ödendi,0
P0000371,L000017,25,2025-05-14,1026.99,Zamanında Ödendi,0
P0000372,L000017,26,2025-06-13,1026.99,Zamanında Ödendi,0
P0000373,L000017,27,2025-07-13,1026.99,Zamanında Ödendi,0
P0000374,L000017,28,2025-08-12,1026.99,Zamanında Ödendi,0
P0000375,L000017,29,2025-09-11,1026.99,Zamanında Ödendi,0
P0000376,L000017,30,2025-10-11,1026.99,Zamanında Ödendi,0
P0000377,L000017,31,2025-11-10,1026.99,Zamanında Ödendi,0
P0000378,L000017,32,2025-12-10,1026.99,Zamanında Ödendi,0
P0000379,L000017,33,2026-01-09,1026.99,Zamanında Ödendi,0
P0000380,L000017,34,2026-02-08,1026.99,Zamanında Ödendi,0
P0000381,L000017,35,2026-03-10,1026.99,Zamanında Ödendi,0
P0000382,L000017,36,2026-04-09,1026.99,Zamanında Ödendi,0
P0000383,L000018,1,2023-02-09,4051.99,Zamanında Ödendi,0
P0000384,L000018,2,2023-03-11,4051.99,Zamanında Ödendi,0
P0000385,L000018,3,2023-04-10,4051.99,Zamanında Ödendi,0
P0000386,L000018,4,2023-05-10,4051.99,Zamanında Ödendi,0
P0000387,L000018,5,2023-06-09,4051.99,Zamanında Ödendi,0
